author,predicted reliability,0
Sen_JoeManchin,1,370
SenateMajLdr,0,37
SenateMajLdr,1,147
SenatorBaldwin,0,91
SenatorBaldwin,1,373
SenatorBennet,0,48
SenatorBennet,1,258
SenatorBraun,0,40
SenatorBraun,1,175
SenatorBurr,0,3
SenatorBurr,1,55
SenatorCantwell,0,50
SenatorCantwell,1,191
SenatorCardin,0,55
SenatorCardin,1,226
SenatorCarper,0,73
SenatorCarper,1,331
SenatorCollins,0,23
SenatorCollins,1,370
SenatorDurbin,0,79
SenatorDurbin,1,310
SenatorEnzi,0,18
SenatorEnzi,1,75
SenatorFischer,0,8
SenatorFischer,1,168
SenatorHassan,0,86
SenatorHassan,1,348
SenatorIsakson,0,3
SenatorIsakson,1,63
SenatorLankford,0,27
SenatorLankford,1,177
SenatorLeahy,0,56
SenatorLeahy,1,149
SenatorMenendez,0,50
SenatorMenendez,1,246
SenatorRisch,0,10
SenatorRisch,1,115
SenatorRomney,0,26
SenatorRomney,1,185
SenatorRounds,0,27
SenatorRounds,1,178
SenatorShaheen,0,49
SenatorShaheen,1,328
SenatorSinema,0,98
SenatorSinema,1,405
SenatorTester,0,30
SenatorTester,1,215
SenatorTimScott,0,28
SenatorTimScott,1,249
SenatorTomUdall,0,81
SenatorTomUdall,1,318
SenatorWicker,0,30
SenatorWicker,1,199
SpeakerPelosi,0,74
SpeakerPelosi,1,235
SteveDaines,0,23
SteveDaines,1,112
SteveScalise,0,62
SteveScalise,1,203
SusanWBrooks,0,22
SusanWBrooks,1,193
TXRandy14,0,13
TXRandy14,1,59
TomColeOK04,0,22
TomColeOK04,1,200
TulsiPress,0,27
TulsiPress,1,166
USRepGaryPalmer,0,18
USRepGaryPalmer,1,90
USRepKCastor,0,47
USRepKCastor,1,269
USRepKeating,0,15
USRepKeating,1,60
USRepLong,0,51
USRepLong,1,210
USRepMikeDoyle,0,56
USRepMikeDoyle,1,395
VernBuchanan,0,25
VernBuchanan,1,151
WarrenDavidson,0,15
WarrenDavidson,1,98
WhipClyburn,0,73
WhipClyburn,1,284
boblatta,0,14
boblatta,1,202
cathymcmorris,0,17
cathymcmorris,1,111
chelliepingree,0,64
chelliepingree,1,294
congbillposey,0,24
congbillposey,1,35
daveloebsack,0,18
daveloebsack,1,107
davidcicilline,0,46
davidcicilline,1,129
gillibrand,0,28
gillibrand,1,34
gracenapolitano,0,23
gracenapolitano,1,229
jahimes,0,22
jahimes,1,80
janschakowsky,0,54
janschakowsky,1,232
justinamash,0,12
justinamash,1,29
lisamurkowski,0,34
