,Tweet
127,"I enjoyed visiting with Wyoming 4-H students who are learning the skills and the values that make them leaders in their communities. The four “H’s” – head, heart, hands and health – are great words to live by. 

The future of Wyoming is bright. https://t.co/cLBp6YkinP"
128,"It was great to meet with @4HWyoming members from across the state who were in Washington, D.C. for the annual @4H leadership program. I’m always encouraged to see young men and women who are committed to giving back to their schools and communities in remarkable ways. https://t.co/03Qz5ZZYje"
129,"Today we honor our nation’s symbol of freedom, liberty, and unity. May we always remain grateful for those who have fought throughout history to protect it. #FlagDay https://t.co/TgkiGQCzE3"
130,"It was great to sit down with Linda Schiffer and others from Wyoming Agri-Women today. Our agriculture industry is central to Wyoming’s way of life, and I will continue fighting every day for the farmers and ranchers who are at the heart of our economy. https://t.co/j3BNc1NdeK"
131,"It was an honor to participate w/ @governorgordon in today’s Deployment Ceremony in #Afton with the @wyoguard C Company, 1st Battalion, 297th Infantry Regiment as they deploy to Kosovo.

Thanks to our Wyoming National Guardsmen &amp; women who serve &amp; protect our country every day. https://t.co/DW3c7du0JN"
132,"This #MemorialDay, we pause to pay tribute to the servicemen and women who gave their last full measure of devotion and made the ultimate sacrifice so that we may live free. https://t.co/67aCVZGbNM"
133,"Thanks to all the brave men and women of our Armed Forces who fight every day for our freedom and safety. We are forever grateful for our troops, past, present, and future. https://t.co/qztBwevDPn"
134,Today and everyday we honor the brave and selfless Americans who are willing to sacrifice everything so that we can live in freedom. #ArmedForcesDay #KnowYourMil https://t.co/Eu1MRwdpSM
135,"RT @HouseGOP: .@RepMcGovern falsely claims ""people aren't going to lose their health care with Medicare-for-All.""

The truth? The Dems' gov…"
136,"Thanks to GOP-led tax reform, middle-class families &amp; small businesses are keeping more of their hard-earned money. While Democrats work to increase taxes, we will keep fighting on behalf of the American people who know how to spend their money better than gov’t does #YouKeepMore https://t.co/g9v9qDMhAL"
137,Thank you to Tracy Richard from the Wyoming Association of Nurse Anesthetists for updating me on issues affecting her profession and Wyoming’s health care industry. https://t.co/UM4CsjAeis
138,"Today, we honor the spouses of servicemembers who made the ultimate sacrifice to keep our country safe and free. #GoldStarSpousesDay https://t.co/KMQ8lEZEZp"
139,Thank you to everyone who joined us for another successful #WyomingWednesday. It was great to see so many friends and discuss crucial issues impacting our state. https://t.co/fyBnuXDil0
140,"Today we honor the life and legacy of Reverend Dr. Martin Luther King, Jr. He will forever be remembered as a great leader who fought to secure civil rights for all Americans. #MLKDay https://t.co/XjaWBEQt1h"
